TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PCT_MALE_MILITARY,PCT_MALE_VETERANS,PCT_VIETNAM_VETERANS,PCT_WWII_VETERANS,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,PER_CAPITA_INCOME
0,89,,0,R,2,46,U,F,,0,N,0,7,727,288,81,0,47,28,36,0,0,A,4,0.353,15,0.5,15,6,5,16,41,152,12,12.67,15,20,5,10,4,8,18,86,16325
0,137,62,0,R,2,49,U,M,3,1,M,18,6,612,327,85,0,15,37,22,1,1,S,2,0.143,20.67,0.2,23.5,3,2,31,68,189,18,10.5,27,32,5,32,6,13,21,129,11200
1,137,,0,R,2,45,U,F,,0,N,0,3,428,253,72,0,33,23,43,1,1,S,4,0.333,3.17,0.5,3,6,4,23,55,42,16,2.63,4,5,1,5,6,13,18,117,10747
1,17,48,0,T,2,40,H,M,7,1,B,1,,809,385,71,0,25,52,26,0,0,F,1,0.167,20,0,0,1,0,5,15,20,1,20,0,20,20,20,4,10,20,20,14699
0,89,84,0,C,2,27,U,M,,1,N,0,7,486,349,94,0,24,25,45,0,0,A,3,0.095,22.5,0.1,25,2,1,22,57,131,9,14.56,20,25,5,25,6,14,18,81,16631
0,89,61,0,C,1,24,H,F,4,1,B,2,7,571,364,91,0,41,40,41,0,0,A,1,0.111,22,0.125,22,2,1,16,37,74,6,12.33,17,22,5,22,5,12,16,79,12818
0,137,62,0,C,2,27,H,F,2,1,B,17,5,369,258,53,0,24,38,27,1,0,A,1,0.238,16.2,0.273,10,5,3,32,75,166,12,13.83,20,30,10,21,6,13,19,124,11925
0,113,71,0,R,2,44,U,F,1,1,B,4,7,717,384,95,0,37,24,30,1,0,A,2,0.053,20,0,0,1,0,28,71,150,15,10,15,20,5,15,6,15,18,113,14291
0,17,,0,S,2,17,U,F,,0,N,0,,392,245,72,1,30,19,43,0,0,F,1,0.143,20,0.333,20,1,1,6,15,20,1,20,0,20,20,20,4,10,21,21,11692
0,29,31,0,C,3,32,U,F,1,1,B,3,,281,200,62,0,44,32,28,0,0,N,1,0.083,15,0,0,1,0,7,17,15,1,15,0,15,15,15,3,8,25,25,9954
0,65,,0,R,2,44,H,F,3,1,M,1,7,596,361,88,0,39,25,46,0,0,A,2,0.176,13.67,0.25,13,3,2,19,48,69,7,9.86,10,15,5,15,6,13,18,63,13078
0,77,72,0,S,3,21,H,M,5,1,B,17,4,361,267,86,0,28,14,63,1,4,A,1,0.111,14,0,0,2,0,18,48,68,6,11.33,10,15,5,15,5,11,21,68,12976
1,29,,0,C,2,27,H,M,5,1,B,1,,534,292,95,0,44,26,42,0,0,A,1,0.154,20,0.167,20,2,1,9,22,40,2,20,0,20,20,20,4,10,19,29,13534
0,29,32,0,S,2,16,H,M,5,1,B,1,,574,381,95,0,27,29,40,0,0,A,1,0.111,25,0.25,25,2,2,12,29,50,2,25,0,25,25,25,6,12,22,33,14809
0,17,,0,T,2,36,U,F,,0,N,0,,867,344,91,0,21,51,19,0,0,N,2,0.125,5,0.25,5,1,1,8,19,20,2,10,10,15,5,15,6,13,17,21,13908
0,29,45,0,T,2,36,H,F,7,0,P,0,,595,292,72,0,39,28,44,0,0,N,1,0.1,20,0.25,20,1,1,6,16,20,1,20,0,20,20,20,3,8,24,24,12583
1,53,,0,T,2,40,U,F,,1,N,0,7,970,314,85,0,29,31,35,1,1,S,2,0.19,15.25,0.273,15.33,4,3,19,45,152,12,12.67,11,16,5,16,6,13,25,52,15281
0,113,68,0,T,2,40,H,M,4,1,B,8,9,879,432,90,8,32,11,23,1,1,S,3,0.15,13,0.111,12,3,1,29,76,206,23,8.96,12,15,3,10,6,14,18,111,15546
0,137,84,0,R,2,49,U,F,,0,N,0,3,970,314,85,0,27,29,23,0,0,A,1,0.1,15,0.111,16,2,1,31,67,91,10,9.1,11,16,5,16,6,13,20,125,15281
0,29,,0,R,2,44,U,M,,0,N,0,,526,364,90,0,25,29,23,0,0,N,3,0.3,7.67,0.4,8,3,2,9,20,23,3,7.67,6,11,5,11,6,12,17,24,12628
0,77,57,0,R,2,49,H,M,3,0,P,0,5,518,294,69,0,31,35,44,1,0,A,1,0.053,25,0,0,1,0,21,53,70,5,14,20,25,5,25,6,13,18,73,12992
0,137,,0,R,2,44,U,F,,0,N,0,5,671,375,90,0,27,38,30,1,1,S,2,0.158,8.67,0.125,5,3,1,29,70,106,17,6.24,8,11,3,10,6,14,18,125,12761
0,29,,0,T,2,36,U,F,,1,N,0,,497,303,51,2,40,19,41,1,0,N,4,0.333,7.75,0.6,6.67,4,3,9,23,31,4,7.75,6,11,5,8,6,14,16,24,15404
0,29,51,0,R,2,44,H,M,5,0,P,0,,663,371,91,0,23,40,34,0,0,A,1,0.154,15,0.167,20,2,1,7,20,30,2,15,10,20,10,20,2,6,21,32,12504
0,17,28,0,T,2,36,H,M,3,0,B,2,,746,435,90,0,34,24,31,0,0,F,1,0.2,25,0.5,25,1,1,6,14,25,1,25,0,25,25,25,5,11,17,17,15398
1,113,51,0,R,2,44,U,M,5,1,M,2,,610,319,89,1,19,26,25,1,1,S,3,0.2,7,0.333,7,3,2,25,65,74,16,4.63,4,7,3,7,5,12,17,113,11815
0,29,25,0,R,2,46,H,M,3,0,B,0,,676,263,85,1,36,26,51,1,0,A,4,0.267,5,0.286,5,4,2,11,28,31,6,5.17,1,6,5,5,6,12,17,31,10994
0,41,,0,R,2,46,U,F,2,1,P,0,,397,143,36,0,32,29,38,1,1,S,4,0.263,6,0.333,6,5,3,12,28,44,8,5.5,3,6,3,6,4,8,17,40,9520
0,89,49,0,R,2,49,H,M,2,1,B,24,6,725,393,86,0,29,34,28,1,0,A,1,0.095,17,0,0,2,0,24,59,88,8,11,13,18,5,18,6,14,17,88,13811
1,65,,0,R,2,49,U,M,2,1,B,1,2,522,280,81,0,22,29,33,1,1,S,2,0.095,14.5,0.1,15,2,1,22,58,161,12,13.42,10,20,10,14,6,14,18,65,10311
0,17,76,0,T,3,41,H,F,1,1,B,0,,264,222,51,0,18,37,19,0,0,F,1,0.2,15,0.5,15,1,1,5,13,15,1,15,0,15,15,15,4,10,17,17,8065
0,17,27,0,T,2,40,H,F,7,1,B,0,,708,340,88,0,41,29,35,0,0,F,1,0.2,15,0.5,15,1,1,5,13,15,1,15,0,15,15,15,4,11,16,16,15754
0,41,74,0,T,3,41,U,F,1,1,B,1,,446,262,78,0,26,10,34,1,0,A,3,0.263,9.8,0.222,6,5,2,14,31,54,6,9,15,20,5,20,6,13,18,39,10626
0,101,67,0,T,2,36,U,M,1,1,B,3,,484,251,64,1,31,31,48,1,1,S,3,0.2,9.75,0.111,10,4,1,27,68,114,17,6.71,8,11,3,10,6,14,16,105,10717
0,125,37,0,T,2,40,H,F,4,1,B,0,3,484,251,64,0,33,36,34,1,4,A,1,0.105,11.5,0.111,12,2,1,26,63,107,14,7.64,9,12,3,11,4,9,26,125,10717
0,137,56,0,T,2,38,U,M,,0,N,0,4,578,221,50,0,31,13,38,1,5,A,1,0.095,16,0.1,15,2,1,30,73,151,14,10.79,12,17,5,17,5,11,26,126,10622
0,137,83,0,T,2,39,U,F,2,1,B,2,5,416,290,86,0,28,35,33,1,1,S,2,0.111,20,0.125,20,2,1,31,73,135,15,9,17,20,3,20,6,12,16,127,9775
0,29,55,0,R,2,49,U,M,3,1,B,0,,552,304,82,0,27,31,38,0,0,N,2,0.286,17.5,0.333,10,2,1,7,19,35,2,17.5,15,25,10,25,5,14,15,23,11205
0,101,52,0,R,2,43,H,M,4,1,B,2,4,489,262,68,0,29,23,30,0,0,A,1,0.1,23.5,0.2,23.5,2,2,23,53,119,8,14.88,16,26,10,26,6,12,22,92,12081
0,101,65,0,R,2,49,H,F,7,1,B,5,6,489,262,68,0,37,42,28,1,0,A,1,0.125,20,0,0,2,0,17,47,118,9,13.11,15,20,5,20,4,8,19,93,12081
0,137,73,0,R,2,44,H,M,4,0,B,1,7,874,427,78,0,29,47,25,1,1,S,3,0.211,10.5,0.222,11,4,2,30,76,132,16,8.25,7,12,5,10,6,16,18,130,15810
0,17,45,0,R,2,49,H,F,5,1,B,25,,592,326,79,1,31,42,31,0,0,F,1,0.143,25,0.333,25,1,1,7,16,25,1,25,0,25,25,25,5,11,21,21,12900
0,29,68,0,R,2,44,H,M,6,1,B,1,,681,364,87,0,22,53,7,0,0,A,2,0.143,14,0.167,15,2,1,10,27,34,3,11.33,9,15,6,6,5,12,18,32,14941
0,137,43,0,R,2,49,U,U,,0,N,0,5,493,324,80,0,29,27,32,1,3,A,1,0.136,20,0.091,20,3,1,30,67,166,10,16.6,25,30,5,20,6,11,25,127,11164
0,29,,0,R,2,44,H,F,5,0,B,0,,975,301,9,0,23,46,27,0,0,A,1,0.125,10,0.143,5,2,1,10,24,20,2,10,10,15,5,15,4,10,26,32,17572
0,29,69,0,C,3,31,U,F,1,0,B,2,,294,244,75,0,37,14,59,0,0,N,1,0.091,50,0.2,50,1,1,9,21,50,1,50,0,50,50,50,6,12,23,23,9826
0,137,37,0,C,3,30,U,F,1,1,P,0,9,292,204,87,0,28,62,0,1,1,S,3,0.286,7.33,0.3,7,6,3,32,80,187,23,8.13,7,12,5,9,5,11,19,112,9123
0,29,37,0,T,1,35,H,F,5,1,B,1,,971,557,96,0,29,52,22,0,0,A,1,0.2,12.33,0.375,12.33,3,3,10,21,37,3,12.33,5,15,10,15,3,5,23,33,21572
1,53,55,0,T,1,34,H,F,4,1,B,11,9,1097,485,67,0,26,24,27,0,0,A,3,0.158,17,0.125,20,3,1,16,39,73,5,14.6,10,20,10,17,5,12,16,51,21132
0,113,,0,T,1,35,H,M,3,1,B,13,9,1041,550,96,0,46,36,33,1,1,S,4,0.211,4.75,0.333,4.67,4,3,27,71,74,21,3.52,4,6,2,5,5,12,20,104,26796
0,101,57,0,T,1,35,H,M,5,0,B,3,9,194,151,23,3,43,4,56,1,1,S,3,0.211,13.75,0.3,13.33,4,3,28,72,194,18,10.78,11,15,4,15,6,13,21,105,11378
0,113,45,0,S,1,11,H,F,6,0,P,0,7,919,342,40,2,25,8,50,1,3,A,1,0.211,12.5,0.273,13,4,3,30,68,172,17,10.12,12,15,3,15,6,12,21,113,20191
0,29,52,0,C,2,27,H,F,3,1,B,13,,535,323,86,2,27,44,29,1,0,N,3,0.3,7.33,0.5,6,3,2,8,21,22,3,7.33,5,10,5,10,5,12,16,24,14337
0,29,29,0,C,3,31,U,F,3,1,B,2,,496,148,11,1,32,13,65,0,0,A,1,0.167,10,0.2,15,2,1,7,17,20,2,10,10,15,5,15,3,8,23,28,9451
0,137,76,0,C,2,27,H,M,5,1,B,7,7,535,312,89,0,36,15,39,1,1,S,2,0.182,19,0.091,20,4,1,32,75,184,17,10.82,23,25,2,25,6,13,18,128,15928
0,29,71,0,C,3,32,H,F,5,0,P,0,,233,224,65,0,31,20,14,0,0,A,1,0.143,12.5,0,0,2,0,9,22,25,2,12.5,5,15,10,15,4,9,26,30,7237
0,89,,0,S,3,21,U,M,,0,N,0,7,495,254,67,1,23,50,25,1,0,A,1,0.105,22.5,0.2,22.5,2,2,23,57,130,8,16.25,20,25,5,25,6,14,25,79,10702
0,137,83,0,C,3,32,U,F,,0,N,0,0,549,275,45,1,25,35,22,0,0,A,2,0.158,20.67,0.111,20,3,1,31,70,202,11,18.36,15,25,10,22,6,14,18,123,13286
0,29,,0,C,2,27,U,F,2,1,P,0,,493,373,84,0,26,25,17,0,0,N,2,0.286,17.5,0.4,17.5,2,2,9,16,35,2,17.5,5,20,15,15,6,13,18,22,13116
0,113,78,0,C,1,23,H,M,5,1,B,20,9,963,428,56,0,48,0,74,1,1,S,2,0.182,15.25,0.091,15,4,1,29,67,154,12,12.83,6,16,10,15,6,13,18,104,22533
0,137,74,0,C,2,27,H,F,5,1,B,6,4,450,272,74,0,28,24,30,1,4,A,2,0.19,11.25,0.2,11.5,4,2,30,67,112,14,8,10,13,3,10,5,12,15,121,10419
1,41,41,0,C,2,27,H,F,4,1,P,0,6,581,369,93,0,28,33,32,1,1,S,2,0.167,27.67,0.3,27.67,3,3,16,39,153,6,25.5,10,30,20,30,6,13,17,44,12835
1,65,,0,S,2,16,U,M,,0,N,0,,578,430,98,0,39,8,58,0,0,A,3,0.235,12.25,0,0,4,0,14,37,66,7,9.43,8,13,5,12,5,11,15,57,15596
0,89,7,0,S,2,20,U,F,5,1,B,0,6,549,275,45,1,25,35,22,1,0,A,1,0.091,25,0.091,25,2,1,26,62,165,8,20.63,15,25,10,25,6,12,25,86,13286
1,29,66,0,S,2,17,H,M,5,1,B,24,,643,273,42,1,23,25,19,0,0,A,2,0.167,30,0.375,30,3,3,12,30,90,3,30,15,35,20,35,6,13,22,33,13088
0,65,56,0,S,1,11,H,M,7,0,B,6,9,1082,410,59,0,23,44,9,1,1,S,2,0.158,20,0.222,20,3,2,18,44,82,6,13.67,15,20,5,20,6,13,16,57,18368
0,17,65,0,S,1,12,H,M,6,1,B,36,,823,396,94,0,27,49,13,0,0,F,1,0.2,25,0,0,1,0,6,13,25,1,25,0,25,25,25,5,11,16,16,15776
1,17,57,0,S,1,14,H,F,6,1,B,2,,1016,607,96,1,27,46,16,0,0,F,1,0.143,15,0,0,1,0,5,12,15,1,15,0,15,15,15,3,8,20,20,20207
0,41,45,0,S,1,12,H,F,5,1,B,2,,823,396,94,0,27,49,13,0,0,A,1,0.105,12.5,0,0,2,0,13,31,35,4,8.75,10,15,5,15,6,12,18,40,15776
0,113,85,0,C,1,22,U,M,1,0,P,0,6,887,387,56,1,20,25,36,1,5,A,1,0.136,20,0.182,20,3,2,29,75,169,15,11.27,15,20,5,20,6,11,24,111,18923
1,137,79,0,S,2,18,U,F,,0,N,0,8,975,301,9,0,30,37,23,1,1,S,4,0.375,3.33,0.5,3.5,6,4,29,68,92,27,3.41,6,8,2,3,5,12,15,123,17572
0,29,,0,C,3,30,U,M,,0,N,0,,350,201,74,0,35,34,21,0,0,A,2,0.176,30,0.25,40,3,2,12,31,100,4,25,40,50,10,50,6,14,18,32,9516
0,53,19,0,R,2,44,H,M,4,0,P,0,,657,374,90,6,37,38,27,1,0,A,3,0.25,7,0.143,10,4,1,15,38,35,6,5.83,8,10,2,10,6,13,19,53,17344
0,29,59,0,C,3,30,H,M,3,1,P,0,,390,253,63,2,26,43,16,0,0,N,1,0.1,15,0.25,15,1,1,6,17,15,1,15,0,15,15,15,3,8,23,23,11339
0,41,54,0,T,2,40,H,F,5,1,B,1,,545,326,69,0,47,31,39,0,0,A,2,0.182,12.75,0.273,12,4,3,16,37,88,8,11,10,15,5,15,6,12,23,43,15288
0,125,41,0,C,2,25,U,F,,0,N,0,6,660,314,33,1,32,21,34,1,1,S,2,0.133,10,0,0,2,0,25,58,98,12,8.17,7,10,3,10,4,7,20,124,13713
0,89,49,0,R,2,49,H,M,7,0,P,0,3,501,268,77,7,31,41,23,1,5,A,1,0.091,25,0.091,25,2,1,26,70,200,10,20,25,30,5,25,6,13,22,88,11301
0,101,77,0,R,2,49,U,F,,0,N,0,3,366,280,80,1,30,26,34,1,0,A,1,0.059,15,0,0,1,0,21,56,72,7,10.29,10,15,5,15,4,11,18,93,11266
0,17,61,0,R,2,43,U,M,,0,N,0,,409,259,70,0,28,35,30,0,0,N,2,0.286,12.5,0.333,10,2,1,7,17,25,2,12.5,5,15,10,15,4,11,16,21,11739
0,41,76,0,T,2,36,U,M,3,1,B,4,,520,210,60,0,32,23,17,0,0,A,2,0.19,28,0.2,28.5,4,2,14,35,112,4,28,7,32,25,25,6,13,18,36,12399
0,53,,0,T,2,39,H,F,4,0,P,0,4,409,262,68,0,32,32,33,1,0,A,1,0.056,20,0.125,20,1,1,16,39,47,4,11.75,13,20,7,20,6,12,21,50,13617
1,29,47,0,C,3,30,H,F,5,1,B,10,,581,231,85,0,37,35,24,0,0,E,1,0.5,14,1,3,2,1,4,14,28,2,14,22,25,3,25,2,9,15,29,11794
0,29,81,0,C,3,30,H,F,2,1,B,1,,499,311,70,0,26,17,38,1,0,A,3,0.333,25,0.333,30,4,2,10,25,100,4,25,30,38,8,32,6,13,20,28,15427
0,29,56,0,T,2,40,H,F,5,1,B,10,,602,371,87,0,36,15,37,0,0,A,4,0.357,6,0.333,7,5,2,10,24,35,6,5.83,5,8,3,5,6,12,18,31,14331
0,29,38,0,C,3,30,U,F,2,0,M,2,,313,183,67,0,30,23,37,1,1,S,3,0.294,5.6,0.25,6.5,5,2,11,26,28,5,5.6,7,10,3,5,5,11,20,33,9514
0,29,,0,T,2,36,H,M,4,0,P,0,,384,284,79,0,23,27,37,0,0,A,3,0.235,24.25,0.25,23.5,4,2,12,32,97,4,24.25,7,27,20,25,6,13,20,32,11480
0,77,,0,T,2,36,U,F,,0,N,0,4,469,238,66,0,23,27,37,1,1,S,3,0.105,12,0.222,12,2,2,21,56,149,13,11.46,11,15,4,10,6,13,18,67,10125
0,113,63,0,T,2,36,U,M,5,1,B,25,3,589,220,67,0,34,42,15,0,0,A,3,0.211,9.75,0.2,9.5,4,2,28,66,110,12,9.17,9,14,5,10,6,13,19,113,12261
0,65,62,0,T,2,36,H,M,4,0,M,24,2,469,238,66,0,34,37,43,0,0,A,1,0.1,16.5,0.222,16.5,2,2,18,50,69,5,13.8,8,18,10,15,6,13,18,65,10125
0,137,63,0,R,3,51,H,F,2,0,P,0,3,417,254,88,0,29,27,39,1,0,A,1,0.105,16.5,0,0,2,0,28,69,124,15,8.27,15,20,5,20,6,13,17,122,10216
0,77,,0,R,3,51,H,F,4,0,M,12,,361,250,82,0,33,28,28,0,0,A,3,0.176,8.67,0.143,14,3,1,18,51,76,9,8.44,10,15,5,7,6,14,15,69,10205
0,137,76,0,R,3,51,U,M,,1,N,0,1,361,250,82,0,33,28,28,1,1,S,2,0.091,17,0,0,2,0,33,74,178,16,11.13,14,17,3,15,6,13,18,124,10205
0,137,49,0,R,3,51,U,F,5,0,M,4,1,361,250,82,0,33,28,28,1,1,S,2,0.143,15,0.2,15,3,2,33,76,224,17,13.18,15,20,5,15,6,13,19,122,10205
0,41,47,0,R,2,44,H,F,5,0,P,0,,531,383,86,0,39,25,33,1,0,A,1,0.176,10,0.25,5,3,2,14,32,35,4,8.75,15,20,5,20,5,11,16,44,14438
0,137,17,0,R,3,51,U,F,1,1,B,4,2,294,252,79,0,38,35,29,1,1,S,4,0.35,3.29,0.3,2.67,7,3,31,75,81,24,3.38,3,5,2,2,6,13,16,128,10405
0,29,49,0,T,3,41,H,M,4,1,B,5,,429,264,72,1,28,43,18,1,0,A,4,0.333,6,0.556,6.2,6,5,13,33,42,8,5.25,7,10,3,5,6,12,17,33,11755
1,41,52,0,T,2,36,H,M,5,0,B,2,4,416,312,78,0,31,13,46,0,0,A,3,0.25,11.5,0.375,11.33,4,3,14,34,51,5,10.2,8,13,5,13,6,12,21,45,11719
0,113,,0,T,3,41,U,M,,0,N,0,,335,235,67,0,33,33,28,1,0,A,4,0.4,14.5,0.25,20,4,1,20,57,112,11,10.18,18,20,2,10,6,14,15,105,9997
0,77,,0,R,2,49,U,M,,1,N,0,,445,283,80,1,32,38,31,0,0,A,1,0.154,24,0.167,24,2,1,17,48,80,4,20,14,24,10,24,6,12,24,76,13041
0,53,47,0,R,2,45,H,F,2,0,B,1,3,440,257,77,0,29,25,40,0,0,A,3,0.25,7.4,0.5,7.4,5,5,18,42,67,9,7.44,8,10,2,2,4,10,21,53,11924
1,137,,0,R,2,46,U,U,2,0,B,1,3,413,283,69,0,26,29,39,1,1,S,4,0.389,7.57,0.5,7.2,7,5,32,73,160,25,6.4,7,9,2,9,5,11,15,129,12509
0,29,57,0,R,2,49,H,F,4,0,P,0,,425,274,82,0,25,15,26,0,0,A,1,0.167,17.5,0.333,17.5,2,2,9,22,35,2,17.5,5,20,15,20,4,10,21,29,12683
1,101,,0,R,2,46,U,M,,0,N,0,6,625,319,77,0,36,29,32,1,1,S,3,0.182,10.5,0.182,9.5,4,2,26,71,170,20,8.5,9,12,3,12,6,13,18,93,13847
0,137,64,0,R,2,49,U,M,,0,N,0,8,418,227,82,0,31,27,30,1,1,S,4,0.45,5.56,0.455,5.2,9,5,29,68,135,31,4.35,5,7,2,5,6,12,17,101,10105
0,29,,0,R,2,45,U,U,,0,N,0,,533,223,70,0,30,14,60,0,0,N,1,0.143,15,0.333,15,1,1,5,13,15,1,15,0,15,15,15,3,8,23,23,11381
0,137,,0,R,2,49,U,U,,0,N,0,4,707,360,84,0,26,39,24,1,1,S,3,0.333,11.17,0.333,10.67,6,3,32,68,130,18,7.22,12,13,1,9,6,11,24,130,12613
0,137,58,0,R,3,51,U,M,3,1,M,22,3,452,274,82,0,38,37,19,1,1,S,2,0.211,12,0.273,13,4,3,32,74,150,21,7.14,17,20,3,20,6,14,21,122,10078
0,77,69,0,R,2,43,H,F,5,1,B,5,,391,306,85,0,19,30,38,0,0,A,3,0.214,6,0.167,10,3,1,19,52,54,14,3.86,7,10,3,10,6,14,16,77,12261
1,137,,0,R,2,43,H,M,2,0,B,6,,397,297,85,0,19,30,38,1,1,S,3,0.176,4.33,0.429,4.33,3,3,27,71,74,20,3.7,3,5,2,5,5,15,16,127,11981
0,29,67,0,R,2,43,U,F,1,1,P,0,,283,157,43,0,37,18,25,1,1,S,3,0.222,10.5,0.222,8.5,4,2,13,30,57,5,11.4,11,15,4,15,6,13,16,32,8877
0,65,65,0,T,2,36,H,M,4,1,B,0,,547,219,81,0,33,26,74,0,0,L,1,0.133,15,0.143,15,2,1,16,34,65,6,10.83,12,15,3,15,5,12,15,62,13796
0,41,,0,R,1,42,U,M,,0,N,0,8,809,448,95,0,34,40,17,0,0,A,1,0.05,25,0.1,25,1,1,16,36,76,4,19,21,26,5,25,6,12,23,44,13814
1,65,62,0,R,2,43,U,F,,0,N,0,5,431,280,80,0,32,30,29,1,1,S,4,0.3,11.17,0.3,12,6,3,20,51,140,17,8.24,9,12,3,7,6,14,19,64,11052
1,29,,0,R,2,43,U,F,2,1,B,0,,505,273,89,1,47,27,43,1,0,A,2,0.214,20,0.286,20,3,2,11,24,80,4,20,0,20,20,20,6,12,15,28,10974
0,29,59,0,R,2,49,H,F,7,1,B,0,,663,333,78,0,24,32,19,0,0,A,4,0.385,6.8,0.2,8,5,1,9,24,34,5,6.8,3,8,5,8,6,13,16,30,12722
0,137,,0,R,3,53,U,F,,0,N,0,,376,197,70,0,31,22,27,1,1,S,3,0.25,5.2,0.444,5.25,5,4,32,82,129,26,4.96,5,7,2,5,5,12,16,130,10104
0,17,51,0,R,3,51,H,F,2,1,B,2,,379,236,87,0,27,35,47,0,0,F,2,0.2,18,0.5,18,1,1,5,14,24,2,12,12,18,6,6,4,12,15,16,9468
0,17,,0,T,3,41,U,F,,1,N,0,,351,192,74,0,27,18,36,0,0,N,3,0.429,10,0.333,10,3,1,7,18,30,3,10,0,10,10,10,5,12,15,21,8757
0,41,66,0,T,2,40,H,F,5,1,B,27,8,705,357,91,0,33,14,26,0,0,A,1,0.118,17.5,0,0,2,0,12,32,45,3,15,10,20,10,20,4,9,27,45,18318
0,41,48,0,R,3,51,U,F,2,1,P,0,,331,192,85,0,29,28,42,1,0,A,4,0.429,5,0.4,5.25,9,4,14,32,48,10,4.8,3,6,3,5,6,12,19,35,8496
0,65,78,0,S,2,16,U,F,,0,N,0,2,503,272,53,3,39,32,19,1,0,A,3,0.182,15.25,0.273,14.67,4,3,21,54,119,10,11.9,15,20,5,17,6,14,18,65,12064
0,17,51,0,S,2,18,H,M,4,0,M,1,,1125,638,98,0,31,28,38,0,0,F,1,0.2,15,0.5,15,1,1,5,13,15,1,15,0,15,15,15,4,10,17,17,20715
0,29,52,0,S,2,16,H,F,5,1,B,1,,513,336,80,0,36,35,33,0,0,A,4,0.353,10.83,0.25,12.5,6,2,12,28,65,6,10.83,10,15,5,15,6,12,18,32,14260
0,41,52,0,C,3,31,H,F,4,1,B,4,,440,69,23,3,54,15,33,0,0,A,4,0.294,10.6,0.25,10.5,5,2,13,30,58,6,9.67,7,12,5,10,6,13,15,37,10060
0,41,39,0,S,2,16,H,F,5,0,P,0,5,513,336,80,0,36,35,33,0,0,A,1,0.118,18,0.143,25,2,1,14,34,41,3,13.67,20,25,5,25,6,13,18,44,14260
0,65,,0,T,2,36,U,M,3,1,B,1,0,388,280,87,0,24,31,45,0,0,A,1,0.048,20,0,0,1,0,18,43,97,6,16.17,10,20,10,20,5,10,26,56,10739
0,89,45,0,S,2,18,H,M,4,1,B,2,5,493,345,84,0,45,43,18,1,11,A,1,0.053,16,0,0,1,0,23,58,106.5,10,10.65,11,16,5,16,6,13,19,77,10800
0,125,66,0,S,2,18,H,F,7,1,B,21,7,650,393,93,1,32,37,21,1,1,S,3,0.238,7.2,0.3,7.33,5,3,32,72,118,20,5.9,9,10,1,9,5,11,20,125,15215
0,137,37,0,S,2,16,H,F,3,1,P,0,,502,238,84,0,25,30,15,1,0,A,3,0.267,5.25,0.5,6,4,3,26,60,43,14,3.07,9,10,1,5,5,11,15,126,9443
0,137,,0,S,3,21,U,F,2,1,B,5,0,391,265,38,0,38,0,0,1,1,S,2,0.267,9.5,0.286,9,4,2,19,48,98,14,7,5,10,5,8,4,7,20,123,12087
1,137,51,0,S,2,18,H,F,6,0,B,10,7,576,381,90,0,31,28,38,1,0,A,1,0.077,15,0.2,15,1,1,26,73,211,23,9.17,12,15,3,15,4,12,19,128,14190
1,41,,0,S,3,21,U,M,,0,N,0,,403,174,35,0,0,0,0,1,0,A,4,0.294,8.6,0.375,7,5,3,11,29,48,6,8,10,15,5,5,4,9,17,41,9704
0,65,29,0,S,1,12,H,F,4,1,P,0,9,533,429,67,0,27,17,28,0,0,A,3,0.278,6.2,0.375,7,5,3,17,42,43,8,5.38,7,10,3,10,6,13,16,57,13560
0,65,51,0,S,2,18,U,F,,0,N,0,,668,357,83,1,30,32,42,1,0,A,2,0.25,12.67,0.5,12.67,3,3,13,31,41,4,10.25,12,15,3,14,6,12,20,53,13606
0,77,33,0,S,2,18,U,F,3,1,B,7,9,382,173,80,0,29,29,27,1,11,A,1,0.053,15,0,0,1,0,21,53,70,11,6.36,13,15,2,15,6,13,18,68,9037
0,77,,0,S,1,12,U,F,7,1,B,1,5,643,413,91,0,44,36,13,1,1,S,3,0.2,9.25,0.273,8.33,4,3,23,60,132,17,7.76,9,12,3,10,6,13,21,76,22388
0,77,45,0,R,2,43,H,F,5,0,P,0,3,524,272,90,0,29,46,29,1,0,A,3,0.211,11.25,0.375,11.33,4,3,19,51,65,7,9.29,7,12,5,12,6,13,15,69,11452
1,17,,0,T,3,41,U,U,,0,N,0,,351,192,74,0,27,18,36,0,0,F,1,0.167,20,0,0,1,0,5,16,20,1,20,0,20,20,20,4,10,20,20,8757
